Country, EDC-Position, Risk-Rating
 Afghanistan,Open on highly restricted basis,High Risk
 Albania,Open on restricted basis,Medium to High Risk
 Algeria,Open on restricted basis,Medium Risk
 Angola,Open on restricted basis,Medium to High Risk
 Antiguaand Barbuda,Open on restricted basis,Medium to High Risk
 Argentina,Open on restricted basis,Medium to High Risk
 Armenia,Open,Medium to High Risk
 Aruba,Open,Low to Medium Risk
 Australia,Open,Low Risk
 Austria,Open,Low Risk
 Azerbaijan,Open on restricted basis,Medium Risk
 Bahamas,Open,Medium Risk
 Bahrain,Open,Medium Risk
 Bangladesh,Open on restricted basis,Medium to High Risk
 Barbados,Open on highly restricted basis,High Risk
 Belarus,Limited information available,High Risk
 Belgium,Open,Low Risk
 Belize,Open on highly restricted basis,High Risk
 Benin,Open on restricted basis,Medium Risk
 Bermuda,Open,Low Risk
 Bhutan,Open on restricted basis,Medium to High Risk
 Bolivia,Open on restricted basis,Medium to High Risk
 Bosniaand Herzegovina,Open on restricted basis,High Risk
 Botswana,Open,Low to Medium Risk
 Brazil,Open,Low to Medium Risk
 Brunei Darussalam,Limited information available,Low Risk
 Bulgaria,Open,Low to Medium Risk
 Burkina Faso,Open on restricted basis,Medium Risk
 Burundi,Limited information available,High Risk
 Cabo Verde,Limited information available,Medium to High Risk
 Cambodia,Open on highly restricted basis,Medium to High Risk
 Cameroon,Open on restricted basis,Medium Risk
 Central African Republic,Open on highly restricted basis,High Risk
 Chad,Limited information available,Medium to High Risk
 Chile,Open,Low Risk
 China,Open,Low Risk
 Colombia,Open,Low to Medium Risk
 Comoros,Limited information available,High Risk
 Congo, D R C,Open on highly restricted basis,High Risk
 Congo, Republicof,Open on restricted basis,Medium to High Risk
 Costa Rica,Open,Medium Risk
 Côted' Ivoire,Open on restricted basis,Medium Risk
 Croatia,Open,Low to Medium Risk
 Cuba,Open on highly restricted basis,High Risk
 Curaçao,Open,Medium Risk
 Cyprus,Open on highly restricted basis,Low to Medium Risk
 Czech Republic,Open,Low Risk
 Denmark,Open,Low Risk
 Djibouti,Limited information available,High Risk
 Dominica,Open on highly restricted basis,Medium Risk
 Dominican Republic,Open,Medium to High Risk
 Ecuador,Open on highly restricted basis,Medium to High Risk
 Egypt,Open on highly restricted basis,Medium to High Risk
 El Salvador,Open on restricted basis,Medium to High Risk
 Equatorial Guinea,Open on highly restricted basis,Medium to High Risk
 Eritrea,Open on highly restricted basis,High Risk
 Estonia,Open,Low Risk
 Ethiopia,Open on restricted basis,High Risk
 Fiji,Limited information available,Medium Risk
 Finland,Open,Low Risk
 France,Open,Low Risk
 Gabon,Open on restricted basis,Medium to High Risk
 Gambia,Limited information available,High Risk
 Georgia,Limited information available,Medium Risk
 Germany,Open,Low Risk
 Ghana,Open on restricted basis,Medium to High Risk
 Greece,Open on highly restricted basis,High Risk
 Grenada,Open on highly restricted basis,Medium Risk
